"disaster subtype",region,"disaster group",occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage"
"Land fire (Brush, Bush, Pastur","South America",Natural,8,40,27200,500,3085,30785,70000
"Land fire (Brush, Bush, Pastur","Southern Africa",Natural,7,97,1000,530,4250,5780,440000
"Land fire (Brush, Bush, Pastur","Southern Asia",Natural,1,0,0,0,0,0,0
"Land fire (Brush, Bush, Pastur","Southern Europe",Natural,4,14,500,0,300,800,675000
"Land fire (Brush, Bush, Pastur","Western Africa",Natural,5,7,2700,0,6077,8777,0
Landslide,"Australia and New Zealand",Natural,3,28,700,1,0,701,2466
Landslide,Caribbean,Natural,8,483,1375,60,1000,2435,0
Landslide,"Central America",Natural,25,3533,10908,131,52211,63250,500000
Landslide,"Central Asia",Natural,16,548,88167,33,75062,163262,252200
Landslide,"Eastern Africa",Natural,19,706,18141,137,12272,30550,0
Landslide,"Eastern Asia",Natural,104,7531,2250917,2229,31829,2284975,2355890
Landslide,"Eastern Europe",Natural,4,35,500,8,330,838,0
Landslide,Melanesia,Natural,13,571,2063,40,18000,20103,0
Landslide,"Middle Africa",Natural,8,410,1248,7,1596,2851,0
Landslide,"Northern Africa",Natural,2,16,10000,46,2866,12912,0
Landslide,"Northern America",Natural,8,725,125,21,3650,3796,20000
Landslide,"Northern Europe",Natural,4,238,0,50,0,50,11000
Landslide,Polynesia,Natural,3,23,500,11,0,511,0
Landslide,"Russian Federation",Natural,7,12345,8500,6,2500,11006,423000
Landslide,"South America",Natural,131,17220,5267739,4704,189015,5461458,2566727
Landslide,"South-Eastern Asia",Natural,99,5451,803870,1155,97117,902142,157326
Landslide,"Southern Africa",Natural,1,34,0,0,0,0,0
Landslide,"Southern Asia",Natural,83,7259,968399,630,3701295,4670324,37500
Landslide,"Southern Europe",Natural,18,2763,14113,362,5735,20210,1390000
Landslide,"Western Africa",Natural,6,121,200,11,11800,12011,0
Landslide,"Western Asia",Natural,15,489,10918,225,2385,13528,26000
Landslide,"Western Europe",Natural,9,182,1781,0,0,1781,510000
"Lava flow","Western Africa",Natural,1,0,2500,0,0,2500,0
Locust,"Australia and New Zealand",Natural,2,0,0,0,0,0,120000
Locust,"Central Asia",Natural,1,0,0,0,0,0,0
Locust,"Eastern Africa",Natural,9,0,0,0,0,0,3500
Locust,"Eastern Asia",Natural,1,0,0,0,0,0,0
Locust,"Eastern Europe",Natural,1,0,0,0,0,0,0
Locust,"Middle Africa",Natural,2,0,0,0,0,0,0
Locust,"Northern Africa",Natural,10,0,0,0,0,0,0
Locust,"South America",Natural,1,0,0,0,0,0,0
Locust,"Southern Africa",Natural,1,0,0,0,0,0,0
Locust,"Southern Asia",Natural,2,0,0,0,0,0,0
Locust,"Western Africa",Natural,20,0,0,0,0,0,0
Locust,"Western Asia",Natural,2,0,0,0,0,0,0
"Parasitic disease",Caribbean,Natural,2,3,3004,0,0,3004,0
"Parasitic disease","Eastern Africa",Natural,13,4076,8694784,0,0,8694784,0
"Parasitic disease","Middle Africa",Natural,1,150,0,0,0,0,0
"Parasitic disease","Northern Africa",Natural,2,0,1000,0,0,1000,0
"Parasitic disease","Northern America",Natural,2,101,403399,0,0,403399,0
"Parasitic disease","Northern Europe",Natural,1,34,144,0,0,144,0
"Parasitic disease","Russian Federation",Natural,1,0,18000000,0,0,18000000,0
"Parasitic disease","South America",Natural,2,0,112000,0,0,112000,0
"Parasitic disease","South-Eastern Asia",Natural,6,475,884666,0,0,884666,0
"Parasitic disease","Southern Africa",Natural,4,497,26716,0,0,26716,0
"Parasitic disease","Southern Asia",Natural,11,4809,532039,0,0,532039,0
"Parasitic disease","Western Asia",Natural,3,0,101300,0,0,101300,0
"Parasitic disease","Western Europe",Natural,1,13,200,0,0,200,0
"Riverine flood","Australia and New Zealand",Natural,38,121,262831,21,100,262952,11601779
"Riverine flood",Caribbean,Natural,61,3950,888212,313,79757,968282,607195
"Riverine flood","Central America",Natural,123,1367,6201849,723,106244,6308816,4854060
"Riverine flood","Central Asia",Natural,25,186,590609,339,14848,605796,640022
"Riverine flood","Eastern Africa",Natural,223,8105,19438306,1760,910207,20350273,1113706
"Riverine flood","Eastern Asia",Natural,225,4345015,1711801967,717710,40019963,1752539640,211697131
"Riverine flood","Eastern Europe",Natural,161,1347,6684644,5259,288422,6978325,22502691
"Riverine flood",Melanesia,Natural,19,64,343311,2,50000,393313,232975
"Riverine flood","Middle Africa",Natural,80,964,2591610,952,278561,2871123,20059
"Riverine flood","Northern Africa",Natural,72,3854,6343806,20213,1476230,7840249,2264800
"Riverine flood","Northern America",Natural,127,693,12117006,360,33800,12151166,55497100
"Riverine flood","Northern Europe",Natural,28,65,360505,0,30000,390505,20767880
"Riverine flood","Russian Federation",Natural,6,38,25000,0,0,25000,839900
"Riverine flood","South America",Natural,270,7983,36589523,6633,1203128,37799284,18489000
"Riverine flood","South-Eastern Asia",Natural,288,11466,99925849,5711,762752,100694312,56093922
"Riverine flood","Southern Africa",Natural,43,1155,2053197,358,62200,2115755,1677269
"Riverine flood","Southern Asia",Natural,367,53048,503542979,16797,12716292,516276068,66646046
"Riverine flood","Southern Europe",Natural,106,437,4920343,15245,36282,4971870,22155075
"Riverine flood","Western Africa",Natural,152,2415,17944980,3843,1515850,19464673,924046
"Riverine flood","Western Asia",Natural,73,1255,2206183,127,601236,2807546,2824856
"Riverine flood","Western Europe",Natural,59,240,335727,26,0,335753,26042596
